название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
МОМЕНТ 125 ГР,3,564,,,,,,"категория, бренд, фасовка","""МОМЕНТ 125 ГР"" что за товар",Глобус
ПРИНЦЕССЫ РК 16004,3,210,,,,,,"категория, бренд, фасовка","""ПРИНЦЕССЫ РК 16004"" что за товар",Глобус
"ВИНО РЕЗ СХ КР 0,75Л",3,1700,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО РЕЗ СХ КР 0,75Л"" какая марка",Глобус
"СОК J7 АП 0,85Л",3,547,Соки и напитки,,,0.85л,,бренд,"соки и напитки ""СОК J7 АП 0,85Л"" какая марка",Глобус
ТЕСТО-ПЛАСТИЛИН 4 ЦВ,3,491,,,,,,"категория, бренд, фасовка","""ТЕСТО-ПЛАСТИЛИН 4 ЦВ"" что за товар",Глобус
БАТАР GP АЛК АА 4ШТ,3,1113,Бытовая химия и гигиена,,,4шт,,бренд,"бытовая химия и гигиена ""БАТАР GP АЛК АА 4ШТ"" какая марка",Глобус
"МОЛОКО СГУЩ.0,88КГ",3,580,Молоко,,,0.88кг,,"бренд, жирность","молоко ""МОЛОКО СГУЩ.0,88КГ"" какая марка",Глобус
КЛЕЙ КОНТАКТ 50 Г,3,680,,,,,,"категория, бренд, фасовка","""КЛЕЙ КОНТАКТ 50 Г"" что за товар",Глобус
"ВЕРН ПИОН/ХЛОП 1,82",3,585,,,,,,"категория, бренд, фасовка","""ВЕРН ПИОН/ХЛОП 1,82"" что за товар",Глобус
БАТАР.15A-2CRVS30 GP,3,3300,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАР.15A-2CRVS30 GP"" производитель вес упаковки",Глобус
АДРИАНА ЗВЕРЮШ 500Г,3,309,,,,,,"категория, бренд, фасовка","""АДРИАНА ЗВЕРЮШ 500Г"" что за товар",Глобус
АЗУ ИНД.ОХЛ 500Г,3,1145,,,,,,"категория, бренд, фасовка","""АЗУ ИНД.ОХЛ 500Г"" что за товар",Глобус
"ТВ МАМА Л МАНГО 3,8%",3,198,,,,,"3,8%","категория, бренд, фасовка","3,8% ""ТВ МАМА Л МАНГО 3,8%"" производитель вес упаковки",Глобус
"МАСЛО Т.ОЗ.82,5%180Г",3,396,Масло сливочное,,,0.18кг,"82,5%",бренд,"масло сливочное 82,5% ""МАСЛО Т.ОЗ.82,5%180Г"" какая марка",Глобус
ПЕЛЬМЕНИ ДОМАШН.800Г,3,776,Полуфабрикаты,,,0.8кг,,бренд,"полуфабрикаты ""ПЕЛЬМЕНИ ДОМАШН.800Г"" какая марка",Глобус
МАСЛО СЛОБОДА 1Л,3,438,Масло сливочное,,,1л,,"бренд, жирность","масло сливочное ""МАСЛО СЛОБОДА 1Л"" какая марка",Глобус
ТОМАТЫ ЧЕРРИ КР 250Г,3,387,Овощи,,,0.25кг,,бренд,"овощи ""ТОМАТЫ ЧЕРРИ КР 250Г"" какая марка",Глобус
ХРЕН ГЛОБУС 160Г,3,114,,,Глобус,,,"категория, фасовка",Глобус вес упаковки грамм купить,Глобус
МАСЛО ОЛЕЙНА 1Л,3,396,,,,,,"категория, бренд, фасовка","""МАСЛО ОЛЕЙНА 1Л"" что за товар",Глобус
"МАСЛО ДАР КУБ 0,65Л",3,311,,,,,,"категория, бренд, фасовка","""МАСЛО ДАР КУБ 0,65Л"" что за товар",Глобус
МАЦОНИ КИЗК 350Г,3,178,,,,,,"категория, бренд, фасовка","""МАЦОНИ КИЗК 350Г"" что за товар",Глобус
УКРОП 50 ГР ШТ,3,129,Овощи,,,,,"бренд, фасовка","овощи ""УКРОП 50 ГР ШТ"" производитель вес упаковки",Глобус
"СТ КЕНИСГСБ 4Г 0,5Л",3,1582,,,,,,"категория, бренд, фасовка","""СТ КЕНИСГСБ 4Г 0,5Л"" что за товар",Глобус
ОЧИСТИТЕЛЬ,3,1019,,,,,,"категория, бренд, фасовка","""ОЧИСТИТЕЛЬ"" что за товар",Глобус
МОР ЛЕК КАР ВИШ 850Г,3,780,Заморозка,,,0.85кг,,бренд,"заморозка ""МОР ЛЕК КАР ВИШ 850Г"" какая марка",Глобус
ТРУСЫ Д/ДЕВ БЕЛ,3,807,,,,,,"категория, бренд, фасовка","""ТРУСЫ Д/ДЕВ БЕЛ"" что за товар",Глобус
МОР ЛЕК КАР КЛБ 850Г,3,820,Заморозка,,,0.85кг,,бренд,"заморозка ""МОР ЛЕК КАР КЛБ 850Г"" какая марка",Глобус
*ОСТ.ГРУД.ОСОБ.В/К М/КУС.В/У300Г,3,490,,,,,,"категория, бренд, фасовка","""*ОСТ.ГРУД.ОСОБ.В/К М/КУС.В/У300Г"" что за товар",Перекрёсток
МОР.ПЛ.ВАН.200Г,3,1293,Заморозка,,,0.2кг,,бренд,"заморозка ""МОР.ПЛ.ВАН.200Г"" какая марка",Глобус
ПЕРЕЦ ПРИПР КУС 30Г,3,227,Овощи,,,0.03кг,,бренд,"овощи ""ПЕРЕЦ ПРИПР КУС 30Г"" какая марка",Глобус
РАЭ СМЕТАНА 20% 320Г,3,514,Сметана,,,0.32кг,20%,бренд,"сметана 20% ""РАЭ СМЕТАНА 20% 320Г"" какая марка","Перекрёсток, Пятёрочка"
ПЛАСТИЛ 18ЦВ СО/СТЕК,3,602,,,,,,"категория, бренд, фасовка","""ПЛАСТИЛ 18ЦВ СО/СТЕК"" что за товар",Глобус
КЕФИР 1% 900МЛ,3,369,Кефир и кисломолочное,,,0.9л,1%,бренд,"кефир и кисломолочное 1% ""КЕФИР 1% 900МЛ"" какая марка",Глобус
СМЕТАНА РАЭ 20% 320Г,3,322,Сметана,,,0.32кг,20%,бренд,"сметана 20% ""СМЕТАНА РАЭ 20% 320Г"" какая марка",Глобус
К.Ц.ЯЙЦА КУР.СТОЛ.С0 10ШТ,3,306,Яйцо,,,10шт,,бренд,"яйцо ""К.Ц.ЯЙЦА КУР.СТОЛ.С0 10ШТ"" какая марка",Пятёрочка
"*МАСЛО МОЛОК.ТРАД..СЛ.82,5% 180Г",3,390,Молоко,,,0.18кг,"82,5%",бренд,"молоко 82,5% ""*МАСЛО МОЛОК.ТРАД..СЛ.82,5% 180Г"" какая марка",Перекрёсток
Т/Б ПАПИЯ 3СЛ 8РУЛ,3,770,,,,,,"категория, бренд, фасовка","""Т/Б ПАПИЯ 3СЛ 8РУЛ"" что за товар",Глобус
МАСЛО ПОДСОЛ З/С 1Л,3,628,Масло растительное,,,1л,,бренд,"масло растительное ""МАСЛО ПОДСОЛ З/С 1Л"" какая марка",Глобус
ГОРЧИЦА РУССКАЯ 140Г,3,245,Соусы и приправы,,,0.14кг,,бренд,"соусы и приправы ""ГОРЧИЦА РУССКАЯ 140Г"" какая марка",Глобус
ГРЕЙПФРУТ КРАСН ВЕС,3,726,,да,,,,категория,"""ГРЕЙПФРУТ КРАСН ВЕС"" что за товар",Глобус
ПИВО ВЕЛКОПОП.КОЗЕЛ СТ/Б 0.45Л,3,195,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВО ВЕЛКОПОП.КОЗЕЛ СТ/Б 0.45Л"" какая марка",Пятёрочка
ЛЮКС ЭКС.ДРОЖ.ХЛЕБОП.ПРЕС.100Г,3,79,Хлеб,,,0.1кг,,бренд,"хлеб ""ЛЮКС ЭКС.ДРОЖ.ХЛЕБОП.ПРЕС.100Г"" какая марка",Пятёрочка
"ВИНО РОЗАРИО БЛ 0,75",3,1265,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО РОЗАРИО БЛ 0,75"" какая марка",Глобус
"МАСЛО ЧУДЕС СЕМ 0,9Л",3,392,Выпечка и сладкое,,,0.9л,,бренд,"выпечка и сладкое ""МАСЛО ЧУДЕС СЕМ 0,9Л"" какая марка",Глобус
ПЕЛЬМЕНИ МИРАТ.800Г,3,1001,Полуфабрикаты,,,0.8кг,,бренд,"полуфабрикаты ""ПЕЛЬМЕНИ МИРАТ.800Г"" какая марка",Глобус
БАТАР. DURACELL,3,973,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАР. DURACELL"" производитель вес упаковки",Глобус
ГОЛЬФЫ Д Р.31-33,3,1042,,,,,,"категория, бренд, фасовка","""ГОЛЬФЫ Д Р.31-33"" что за товар",Глобус
МАСЛО GAZPROM 5W40,3,4732,,,,,,"категория, бренд, фасовка","""МАСЛО GAZPROM 5W40"" что за товар",Глобус
ПОДСЛЕДНИКИ Ж ГР CL7,3,255,,,,,,"категория, бренд, фасовка","""ПОДСЛЕДНИКИ Ж ГР CL7"" что за товар",Глобус
ИЗЮМ СВЕТЛ КРУП 500Г,3,628,Сухофрукты и орехи,,,0.5кг,,бренд,"сухофрукты и орехи ""ИЗЮМ СВЕТЛ КРУП 500Г"" какая марка",Глобус
МОР.ВИШ.ЛЕК/К.850Г,3,1096,Заморозка,,,0.85кг,,бренд,"заморозка ""МОР.ВИШ.ЛЕК/К.850Г"" какая марка",Глобус
ТБ ПАПИЯ БЕЛ 3С 12Р,3,864,,,,,,"категория, бренд, фасовка","""ТБ ПАПИЯ БЕЛ 3С 12Р"" что за товар",Глобус
СЕРДЦЕ ЦБ ОХЛ.ПОДЛОЖ.МГА 500Г ТРОЕКУРОВО,3,600,Птица,,,0.5кг,,бренд,"птица ""СЕРДЦЕ ЦБ ОХЛ.ПОДЛОЖ.МГА 500Г ТРОЕКУРОВО"" какая марка",Дикси
"МОЛ АВИДА3,2%970МЛ",3,209,Молоко,,,0.97л,"3,2%",бренд,"молоко 3,2% ""МОЛ АВИДА3,2%970МЛ"" какая марка",Глобус
СОК САД ПР МУЛЬТ 1Л,3,305,Соки и напитки,,,1л,,бренд,"соки и напитки ""СОК САД ПР МУЛЬТ 1Л"" какая марка",Глобус
СОК СП ЯБ.П.ОТЖ.1Л,3,320,Соки и напитки,,,1л,,бренд,"соки и напитки ""СОК СП ЯБ.П.ОТЖ.1Л"" какая марка",Глобус
СЫР ТВОР ЭКОМИЛК400Г,3,570,Сыр,,Экомилк,0.4кг,,жирность,Экомилк сыр жирность процент,Глобус
ФОР КАР.ПЛАСТ СЛ/СВУ,3,3090,,да,,,,категория,"""ФОР КАР.ПЛАСТ СЛ/СВУ"" что за товар",Глобус
НАП.ПИВ.ХУГАРДЕН БЕЛ.СТ/Б 0.4,3,276,Пиво,,,,,"бренд, фасовка, жирность","пиво ""НАП.ПИВ.ХУГАРДЕН БЕЛ.СТ/Б 0.4"" производитель вес упаковки",Продторг
ВОДА БОРЖОМИ МИН.ГИДРОКАР.0.7,3,356,Вода,,Боржоми,,,фасовка,Боржоми вода вес упаковки грамм купить,Продторг
РЕШЕТКА ДЛЯ ГРИЛЯ,3,2144,,,,,,"категория, бренд, фасовка","""РЕШЕТКА ДЛЯ ГРИЛЯ"" что за товар",Глобус
МОЛ.ЭКОВАК.ОТБ.930МЛ,3,228,Молоко,,,0.93л,,"бренд, жирность","молоко ""МОЛ.ЭКОВАК.ОТБ.930МЛ"" какая марка",Глобус
ЯЙЦО КУР.ЛЕТО С1 20Ш,3,763,Яйцо,,,,,"бренд, фасовка","яйцо ""ЯЙЦО КУР.ЛЕТО С1 20Ш"" производитель вес упаковки",Глобус
ЯШКИНО ВАФЛИ ГЛ.С ОРЕШКАМИ 2,3,270,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""ЯШКИНО ВАФЛИ ГЛ.С ОРЕШКАМИ 2"" производитель вес упаковки",Продторг
"БЗМЖ МАСЛО ЛЕГЕНДА ФИНЛЯН.СТРАН.ОЗЕР СЛ.82,5% 180Г",3,360,Масло сливочное,,,0.18кг,"82,5%",бренд,"масло сливочное 82,5% ""БЗМЖ МАСЛО ЛЕГЕНДА ФИНЛЯН.СТРАН.ОЗЕР СЛ.82,5% 180Г"" какая марка",Дикси
МАСЛО СЛИВ ГЛ 380Г,3,896,Масло сливочное,,,0.38кг,,"бренд, жирность","масло сливочное ""МАСЛО СЛИВ ГЛ 380Г"" какая марка",Глобус
РУЧКА ГЕЛЕВАЯ,3,686,,,,,,"категория, бренд, фасовка","""РУЧКА ГЕЛЕВАЯ"" что за товар",Глобус
"ПИВО ШПАТЕН СТ 0,5Л",3,800,Пиво,,,0.5л,,"бренд, жирность","пиво ""ПИВО ШПАТЕН СТ 0,5Л"" какая марка",Глобус
СЫРОК РОСТАГРО6Х25Г,3,633,Сырки и творожные десерты,,,,,"бренд, фасовка, жирность","сырки и творожные десерты ""СЫРОК РОСТАГРО6Х25Г"" производитель вес упаковки",Глобус
КОЛБ.КРАКОВ.П/К 400Г,3,937,,,,,,"категория, бренд, фасовка","""КОЛБ.КРАКОВ.П/К 400Г"" что за товар",Глобус
КУРАГА 300 ГР,3,392,Сухофрукты и орехи,,,,,"бренд, фасовка","сухофрукты и орехи ""КУРАГА 300 ГР"" производитель вес упаковки",Глобус
DEL.ВАФЛИ КАПРИЧЧИО 10Х20Г,3,354,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""DEL.ВАФЛИ КАПРИЧЧИО 10Х20Г"" производитель вес упаковки",Продторг
МОЛ ЦЕЛ.ГЛОБУС900МЛ,3,312,Молоко,,Глобус,0.9л,,жирность,Глобус молоко жирность процент,Глобус
"САЛАТНИК 14,5СМ",3,2718,Овощи,,,,,"бренд, фасовка","овощи ""САЛАТНИК 14,5СМ"" производитель вес упаковки",Глобус
АЛДАЯ ВОДА НАГ.26 ГА,3,66,Вода,,,,,"бренд, фасовка","вода ""АЛДАЯ ВОДА НАГ.26 ГА"" производитель вес упаковки",Продторг
Я ЛЮБ.ГОТ.МАЙОН.МОС.,3,346,,,,,,"категория, бренд, фасовка","""Я ЛЮБ.ГОТ.МАЙОН.МОС."" что за товар",Продторг
А.РОС.СЫРОК ТВ.ГЛ.М.,3,117,Творог,,,,,"бренд, фасовка, жирность","творог ""А.РОС.СЫРОК ТВ.ГЛ.М."" производитель вес упаковки",Продторг
ГРЕЧКА МИСТРАЛЬ 2КГ,3,793,Крупы и макароны,,,2кг,,бренд,"крупы и макароны ""ГРЕЧКА МИСТРАЛЬ 2КГ"" какая марка",Глобус
ДЕС ТВ ЧИЗКЕЙК ШОК40,3,149,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""ДЕС ТВ ЧИЗКЕЙК ШОК40"" производитель вес упаковки",Глобус
ШОК РИТ РОМ/ИЗЮМ100,3,877,Сухофрукты и орехи,,,0.1кг,,бренд,"сухофрукты и орехи ""ШОК РИТ РОМ/ИЗЮМ100"" какая марка",Глобус
"СТ.МОЛ.МОЛОКО ПАСТ.3,2% 1,55Л ЭНГЕЛЬССКИ",3,336,Молоко,,,1.55л,"3,2%",бренд,"молоко 3,2% ""СТ.МОЛ.МОЛОКО ПАСТ.3,2% 1,55Л ЭНГЕЛЬССКИ"" какая марка",Пятёрочка
"МАСЛ.ЭКОМИЛК82,5%381",3,891,,,Экомилк,,"82,5%","категория, фасовка","Экомилк 82,5% вес упаковки грамм купить",Глобус
ЛАПША ДОМАШНЯЯ 500Г,3,835,Крупы и макароны,,,0.5кг,,бренд,"крупы и макароны ""ЛАПША ДОМАШНЯЯ 500Г"" какая марка",Глобус
ТЕТРАДЬ 48Л А5,3,246,,,,,,"категория, бренд, фасовка","""ТЕТРАДЬ 48Л А5"" что за товар",Глобус
АЛЬДЕГИД КОНЦ 500МЛ,3,1337,,,,,,"категория, бренд, фасовка","""АЛЬДЕГИД КОНЦ 500МЛ"" что за товар",Глобус
"ДАН.ЙОГ.ФАНТ.ЗЛ.ШАР/КАР6,9%105Г ДАНОН ИН",3,136,Йогурт,,,0.105кг,"6,9%",бренд,"йогурт 6,9% ""ДАН.ЙОГ.ФАНТ.ЗЛ.ШАР/КАР6,9%105Г ДАНОН ИН"" какая марка",Пятёрочка
БЕКОН С/К РУБЛ 150Г,3,1144,Колбаса и сосиски,,,0.15кг,,"бренд, жирность","колбаса и сосиски ""БЕКОН С/К РУБЛ 150Г"" какая марка",Глобус
"ВИНО АГОРА БАС 0,75Л",3,1157,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО АГОРА БАС 0,75Л"" какая марка",Глобус
ЧАЙ КАРЭНТ/МИНТ 45Г,3,350,Чай и кофе,,,0.045кг,,бренд,"чай и кофе ""ЧАЙ КАРЭНТ/МИНТ 45Г"" какая марка",Глобус
ДОБРОФЛ.МИНТ.ФИЛЕ ГЛ,3,1314,,,,,,"категория, бренд, фасовка","""ДОБРОФЛ.МИНТ.ФИЛЕ ГЛ"" что за товар",Продторг
СВЕТ.МАССА ТВОР.КУРА,3,227,Творог,,Свитлогорье,,,"фасовка, жирность",Свитлогорье творог вес упаковки грамм купить,Продторг
БАРАНИЙ СУПОВОЙ НАБО,3,1007,,да,,,,категория,"""БАРАНИЙ СУПОВОЙ НАБО"" что за товар",Глобус
ВАЛЕНКИ ВОЛЖАНКА ПП,3,4575,,,,,,"категория, бренд, фасовка","""ВАЛЕНКИ ВОЛЖАНКА ПП"" что за товар",Глобус
GREENOLA ВИШНЯ Б/К.З,3,1592,Фрукты и ягоды,,,,,"бренд, фасовка","фрукты и ягоды ""GREENOLA ВИШНЯ Б/К.З"" производитель вес упаковки",Продторг
GREEN.КЛУБНИКА БЫСТР,3,495,Фрукты и ягоды,,,,,"бренд, фасовка","фрукты и ягоды ""GREEN.КЛУБНИКА БЫСТР"" производитель вес упаковки",Продторг
"ВИНО ТЕРРАШ БЕЛ 0,75",3,1941,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО ТЕРРАШ БЕЛ 0,75"" какая марка",Глобус
САЛАТНИК 12СМ,3,1859,Овощи,,,,,"бренд, фасовка","овощи ""САЛАТНИК 12СМ"" производитель вес упаковки",Глобус
"АССОРТИ ДЛЯ ГРИЛЯ ""ВОСТОЧНЫЕ ТРАДИЦИИ""",3,2054,,да,,,,категория,"""АССОРТИ ДЛЯ ГРИЛЯ ""ВОСТОЧНЫЕ ТРАДИЦИИ"""" что за товар",Глобус
ГЛОКЕН ЛАПША 500Г,3,1169,Крупы и макароны,,,0.5кг,,бренд,"крупы и макароны ""ГЛОКЕН ЛАПША 500Г"" какая марка",Глобус
СТЕБЛИ СЕЛЬДЕРЕЯ,3,402,,,,,,"категория, бренд, фасовка","""СТЕБЛИ СЕЛЬДЕРЕЯ"" что за товар",Глобус
КЛЕЙ 1Г*3ШТ МОМЕНТ,3,635,,,,,,"категория, бренд, фасовка","""КЛЕЙ 1Г*3ШТ МОМЕНТ"" что за товар",Глобус
ПИВО КРИНИЦА ЛАГЕР С,3,162,Пиво,,,,,"бренд, фасовка, жирность","пиво ""ПИВО КРИНИЦА ЛАГЕР С"" производитель вес упаковки",Продторг
БИМАКС 100ПЯТЕН 500Г,3,903,,,,,,"категория, бренд, фасовка","""БИМАКС 100ПЯТЕН 500Г"" что за товар",Глобус
КОЛБАСКИ БАРАНЬИ ЖАРЕНЫЕ,3,333,Колбаса и сосиски,,,,,"бренд, фасовка, жирность","колбаса и сосиски ""КОЛБАСКИ БАРАНЬИ ЖАРЕНЫЕ"" производитель вес упаковки",Глобус
БРЮКИ Д Р.164,3,3796,,,,,,"категория, бренд, фасовка","""БРЮКИ Д Р.164"" что за товар",Глобус
СМЕТАНА ЧАБАН 300Г,3,505,Сметана,,,0.3кг,,"бренд, жирность","сметана ""СМЕТАНА ЧАБАН 300Г"" какая марка",Глобус
БЕКОН СВИНОЙ 260Г,3,913,Свинина,,,0.26кг,,бренд,"свинина ""БЕКОН СВИНОЙ 260Г"" какая марка",Глобус
ФИЛЕ С ГРУДКИ ОХЛ.,3,1035,,да,,,,категория,"""ФИЛЕ С ГРУДКИ ОХЛ."" что за товар",Глобус
"ПИВО ZATECKY GUS СВ.4,6% 0.45Л",3,180,Пиво,,,0.45л,"4,6%",бренд,"пиво 4,6% ""ПИВО ZATECKY GUS СВ.4,6% 0.45Л"" какая марка",Пятёрочка
БАЗИЛИК АРОМАТ,3,135,Овощи,,,,,"бренд, фасовка","овощи ""БАЗИЛИК АРОМАТ"" производитель вес упаковки",Глобус
РАСТИШ.КЛУБ/ДРАЖ.115,3,176,,,,,,"категория, бренд, фасовка","""РАСТИШ.КЛУБ/ДРАЖ.115"" что за товар",Глобус
ТЕНД.ТУШ.ЦЫП.БР.1С ОХЛ.ФАС.1КГ,3,1020,,да,,,,категория,"""ТЕНД.ТУШ.ЦЫП.БР.1С ОХЛ.ФАС.1КГ"" что за товар",Пятёрочка
ВОДА МИН. ЛЕНТА №17 СТ/Б 0.45L,3,138,Вода,,,,,"бренд, фасовка","вода ""ВОДА МИН. ЛЕНТА №17 СТ/Б 0.45L"" производитель вес упаковки",Лента
ВОДА МИН. ЛЕНТА №4 СТ/Б 0.45L,3,138,Вода,,,,,"бренд, фасовка","вода ""ВОДА МИН. ЛЕНТА №4 СТ/Б 0.45L"" производитель вес упаковки",Лента
ДАНИССИМ.ФИС.МОР.130,3,156,Заморозка,,,,,"бренд, фасовка","заморозка ""ДАНИССИМ.ФИС.МОР.130"" производитель вес упаковки",Глобус
БЗМЖ СЫРОК ГЛ. А. РОСТАГРОКОМП. 26% ВАН. В Т/Ш 50Г,3,165,Сырки и творожные десерты,,,0.05кг,26%,бренд,"сырки и творожные десерты 26% ""БЗМЖ СЫРОК ГЛ. А. РОСТАГРОКОМП. 26% ВАН. В Т/Ш 50Г"" какая марка",Дикси
"ЛИКЕР ЯГЕРМАЙСТ 0,7Л",3,4636,Крепкий алкоголь,,,0.7л,,"бренд, жирность","крепкий алкоголь ""ЛИКЕР ЯГЕРМАЙСТ 0,7Л"" какая марка",Глобус
ЯЙЦО КУРИНОЕ С1 10ШТ,3,350,Яйцо,,,10шт,,бренд,"яйцо ""ЯЙЦО КУРИНОЕ С1 10ШТ"" какая марка",Глобус
ПОЛОТ DECOR 3СЛ 4РУЛ,3,607,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""ПОЛОТ DECOR 3СЛ 4РУЛ"" производитель вес упаковки",Глобус
ШОКОЛ МИНД/АПЕЛ100Г,3,1399,,,,,,"категория, бренд, фасовка","""ШОКОЛ МИНД/АПЕЛ100Г"" что за товар",Глобус
КУКУРУЗА НЕОЧИЩ ВЕС,3,915,,да,,,,категория,"""КУКУРУЗА НЕОЧИЩ ВЕС"" что за товар",Глобус
GR.RAY ПЮРЕ PASSATA ТОМАТ.350Г,3,310,Овощи,,,0.35кг,,бренд,"овощи ""GR.RAY ПЮРЕ PASSATA ТОМАТ.350Г"" какая марка",Пятёрочка
GREEN.СОК ЯБЛ.ОСВ.0.,3,247,Соки и напитки,,,,,"бренд, фасовка","соки и напитки ""GREEN.СОК ЯБЛ.ОСВ.0."" производитель вес упаковки",Продторг
СОК АССОРТИМЕНТ,3,257,Соки и напитки,,,,,"бренд, фасовка","соки и напитки ""СОК АССОРТИМЕНТ"" производитель вес упаковки",Глобус
СОУС ПОРЦИОН В АСС,3,62,Соусы и приправы,,,,,"бренд, фасовка","соусы и приправы ""СОУС ПОРЦИОН В АСС"" производитель вес упаковки",Глобус
КОФЕ В АСС ЧЕРНЫЙ,3,2,Чай и кофе,,,,,"бренд, фасовка","чай и кофе ""КОФЕ В АСС ЧЕРНЫЙ"" производитель вес упаковки",Глобус
КЕТЧУП ТОМАТ 320Г,3,320,Овощи,,,0.32кг,,бренд,"овощи ""КЕТЧУП ТОМАТ 320Г"" какая марка",Глобус
КОЛБ.МОРТАДЕЛЛА 170Г,3,762,,,,,,"категория, бренд, фасовка","""КОЛБ.МОРТАДЕЛЛА 170Г"" что за товар",Глобус
БУЛОЧКА АРБАТ,3,45,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""БУЛОЧКА АРБАТ"" производитель вес упаковки",Глобус
СУП 450МЛ,3,470,,,,,,"категория, бренд, фасовка","""СУП 450МЛ"" что за товар",Глобус
СЛАВНА МУКА СТАРООСКОЛЬСКАЯ ХЛЕБОПЕКАРНАЯ В/С,3,520,Хлеб,,,,,"бренд, фасовка","хлеб ""СЛАВНА МУКА СТАРООСКОЛЬСКАЯ ХЛЕБОПЕКАРНАЯ В/С"" производитель вес упаковки",Магнит
НАПИТОК БАЙКАЛ 2Л,3,386,Соки и напитки,,,2л,,бренд,"соки и напитки ""НАПИТОК БАЙКАЛ 2Л"" какая марка",Глобус
Z.P.ПИЦЦА КЛАСС.ПЕПП,3,957,,,,,,"категория, бренд, фасовка","""Z.P.ПИЦЦА КЛАСС.ПЕПП"" что за товар",Продторг
КОКА-КОЛА 2Л,3,695,Соки и напитки,,,2л,,бренд,"соки и напитки ""КОКА-КОЛА 2Л"" какая марка",Глобус
ПЕЛЬМ.СЛ.МАСЛ.700Г,3,1265,Полуфабрикаты,,,0.7кг,,бренд,"полуфабрикаты ""ПЕЛЬМ.СЛ.МАСЛ.700Г"" какая марка",Глобус
ПЕЛЬМ.МИНИ 700Г,3,974,Полуфабрикаты,,,0.7кг,,бренд,"полуфабрикаты ""ПЕЛЬМ.МИНИ 700Г"" какая марка",Глобус
МАЙОН MR.RICCO ОЛИВ,3,605,,,Mr.Ricco,,,"категория, фасовка",Mr.Ricco вес упаковки грамм купить,Глобус
САЛАТ МИКС РУК+РАДИЧ,3,506,Овощи,,,,,"бренд, фасовка","овощи ""САЛАТ МИКС РУК+РАДИЧ"" производитель вес упаковки",Глобус
ДЖЕМ МАЛИНА 300Г,3,833,Фрукты и ягоды,,,0.3кг,,бренд,"фрукты и ягоды ""ДЖЕМ МАЛИНА 300Г"" какая марка",Глобус
КОЛБ ДОКТОРСК ВЕС,3,1753,,да,,,,категория,"""КОЛБ ДОКТОРСК ВЕС"" что за товар",Глобус
СЫР ТВ.ХОХЛ.С ЗЕЛ200,3,526,Творог,,,0.2кг,,"бренд, жирность","творог ""СЫР ТВ.ХОХЛ.С ЗЕЛ200"" какая марка",Глобус
ХРЕН СЛИВОЧНЫЙ 250Г,3,405,,,,,,"категория, бренд, фасовка","""ХРЕН СЛИВОЧНЫЙ 250Г"" что за товар",Глобус
КОКА-КОЛА ПЭТ 1Л,3,439,Соки и напитки,,,1л,,бренд,"соки и напитки ""КОКА-КОЛА ПЭТ 1Л"" какая марка",Глобус
ШОК РИТ КАР МУСС100,3,938,Выпечка и сладкое,,,0.1кг,,бренд,"выпечка и сладкое ""ШОК РИТ КАР МУСС100"" какая марка",Глобус
СМЕТАНА СОФ ПОДВ24%,3,459,Сметана,,,,24%,"бренд, фасовка","сметана 24% ""СМЕТАНА СОФ ПОДВ24%"" производитель вес упаковки",Глобус
КАРАМ HALLS МАНГО 25,3,234,,,,,,"категория, бренд, фасовка","""КАРАМ HALLS МАНГО 25"" что за товар",Глобус
"КОЛА ОРИГ 0,33",3,411,Соки и напитки,,,0.33л,,бренд,"соки и напитки ""КОЛА ОРИГ 0,33"" какая марка",Глобус
КОФЕ ЛЕБО БРАЗИЛ 1КГ,3,7463,Чай и кофе,,,1кг,,бренд,"чай и кофе ""КОФЕ ЛЕБО БРАЗИЛ 1КГ"" какая марка",Глобус
СЫР МОЦАРЕЛ.ПИЦЦА460,3,1445,Сыр,,,0.46кг,,"бренд, жирность","сыр ""СЫР МОЦАРЕЛ.ПИЦЦА460"" какая марка",Глобус
СОК СП ЗЕЛЕН ЯБЛ 1Л,3,315,Соки и напитки,,,1л,,бренд,"соки и напитки ""СОК СП ЗЕЛЕН ЯБЛ 1Л"" какая марка",Глобус
"К-К АРАР НАИР 20 0,5",3,17940,,,,,,"категория, бренд, фасовка","""К-К АРАР НАИР 20 0,5"" что за товар",Глобус
"ЧАЙ ЛИПТОН ЛИМ 1,5Л",3,578,Чай и кофе,,,1.5л,,бренд,"чай и кофе ""ЧАЙ ЛИПТОН ЛИМ 1,5Л"" какая марка",Глобус
