название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
БОНД ГОРОШ 400,7,2178,,,,,,"категория, бренд, фасовка","""БОНД ГОРОШ 400"" что за товар",Глобус
СВЕТ.МАСЛО ТР.С/С Н/С В/С 18,7,833,,,Свитлогорье,,,"категория, фасовка",Свитлогорье вес упаковки грамм купить,Продторг
БАТАР. KODAK,7,1041,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАР. KODAK"" производитель вес упаковки",Глобус
БРАУН ГРЕЦ.ОР/КАР40Г,7,2085,,,,,,"категория, бренд, фасовка","""БРАУН ГРЕЦ.ОР/КАР40Г"" что за товар",Глобус
ТЕЛЯЧЬИ МЯСНЫЕ КОСТИ,7,1135,,да,,,,категория,"""ТЕЛЯЧЬИ МЯСНЫЕ КОСТИ"" что за товар",Глобус
ЯЙЦО КУР.СЕЛ/З С010Ш,7,1883,Яйцо,,,,,"бренд, фасовка","яйцо ""ЯЙЦО КУР.СЕЛ/З С010Ш"" производитель вес упаковки",Глобус
ГОЛУБИКА ВЕДЕРК 400Г,7,4417,Фрукты и ягоды,,,0.4кг,,бренд,"фрукты и ягоды ""ГОЛУБИКА ВЕДЕРК 400Г"" какая марка",Глобус
ЭМАЛЬ УНИВЕРС REXTON,7,1921,,,,,,"категория, бренд, фасовка","""ЭМАЛЬ УНИВЕРС REXTON"" что за товар",Глобус
"ПИВ САМСОН ОРИГ 0,5Л",7,1041,Пиво,,,0.5л,,"бренд, жирность","пиво ""ПИВ САМСОН ОРИГ 0,5Л"" какая марка",Глобус
ЛЮЛЯ-КЕБАБ ГЛОБУС,7,2877,,да,,,,категория,"""ЛЮЛЯ-КЕБАБ ГЛОБУС"" что за товар",Глобус
КРИСТАЛПУЛ,7,8820,,,,,,"категория, бренд, фасовка","""КРИСТАЛПУЛ"" что за товар",Глобус
СЕЛЯН.МУКА ПШЕНИЧНАЯ В/С 2КГ,7,2139,Мука,,,2кг,,бренд,"мука ""СЕЛЯН.МУКА ПШЕНИЧНАЯ В/С 2КГ"" какая марка",Пятёрочка
КОКТЕЙЛЬ НОВ.ДЕР930,7,830,,,,,,"категория, бренд, фасовка","""КОКТЕЙЛЬ НОВ.ДЕР930"" что за товар",Глобус
АКК.КОНФЕТЫ ОТЛОМИ 3,7,1890,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""АКК.КОНФЕТЫ ОТЛОМИ 3"" производитель вес упаковки",Продторг
РУК ГЛОБУС 125Г,7,1499,,,Глобус,,,"категория, фасовка",Глобус вес упаковки грамм купить,Глобус
НАГГЕТСЫ КУР/СЫР 250,7,3155,Сыр,,,0.25кг,,"бренд, жирность","сыр ""НАГГЕТСЫ КУР/СЫР 250"" какая марка",Глобус
ВИНО C.LOR.S.RUB.КР.П/СУХ.0.75Л,7,4193,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО C.LOR.S.RUB.КР.П/СУХ.0.75Л"" какая марка",Продторг
"MIL.МАСЛО СЛ/СЛ.Н/С.82,5% 180Г",7,1050,Масло сливочное,,,0.18кг,"82,5%",бренд,"масло сливочное 82,5% ""MIL.МАСЛО СЛ/СЛ.Н/С.82,5% 180Г"" какая марка",Пятёрочка
